sample_id,physical_target_deg,tf_deg,ekf_deg,wheel_deg,tf_age_sec,ekf_age_sec,wheel_age_sec,tf_ekf_skew_sec,tf_wheel_skew_sec,ekf_wheel_skew_sec,tf_ratio,ekf_ratio,wheel_ratio
1,90.00,-91.0396,-91.0396,-91.0446,0.0343,0.0343,0.0143,0.0000,0.0201,0.0201,1.011551,1.011551,1.011606
2,90.00,-89.7157,-89.7157,-89.7131,0.0317,0.0317,0.0017,0.0000,0.0300,0.0300,0.996841,0.996841,0.996812
3,90.00,-91.6886,-91.6886,-91.6866,0.0460,0.0460,0.0260,0.0000,0.0200,0.0200,1.018763,1.018763,1.018740
4,90.00,-90.0635,-90.0635,-90.0636,0.0230,0.0230,0.0030,0.0000,0.0200,0.0200,1.000705,1.000705,1.000707
5,90.00,-92.6801,-92.6801,-92.6796,0.0157,0.0157,0.0157,0.0000,0.0000,0.0000,1.029779,1.029779,1.029773
6,90.00,-91.5650,-91.5650,-91.5637,0.0434,0.0434,0.0134,0.0000,0.0300,0.0300,1.017389,1.017389,1.017375
7,90.00,-89.4617,-89.4617,-89.4630,0.0091,0.0091,0.0091,0.0000,0.0000,0.0000,0.994019,0.994019,0.994033
8,90.00,-92.7650,-92.7650,-92.7650,0.0076,0.0076,0.0076,0.0000,0.0000,0.0000,1.030722,1.030722,1.030722
9,90.00,-91.3173,-91.3173,-91.3173,0.0113,0.0113,0.0113,0.0000,0.0000,0.0000,1.014637,1.014637,1.014637
10,90.00,-92.7852,-92.7852,-92.7810,0.0358,0.0358,0.0158,0.0000,0.0200,0.0200,1.030947,1.030947,1.030900
11,90.00,-87.8977,-87.8977,-87.9034,0.0223,0.0223,0.0023,0.0000,0.0200,0.0200,0.976641,0.976641,0.976705
12,90.00,-91.6061,-91.6061,-91.6024,0.0121,0.0121,0.0021,0.0000,0.0100,0.0100,1.017846,1.017846,1.017804
13,90.00,-89.3851,-89.3851,-89.3883,0.0374,0.0374,0.0174,0.0000,0.0200,0.0200,0.993168,0.993168,0.993204
14,90.00,-94.2566,-94.2566,-94.2588,0.0276,0.0276,0.0076,0.0000,0.0200,0.0200,1.047295,1.047295,1.047320
15,90.00,-89.2560,-89.2560,-89.2527,0.0148,0.0148,0.0148,0.0000,0.0000,0.0000,0.991733,0.991733,0.991696
16,90.00,-90.2524,-90.2524,-90.2524,0.0125,0.0125,0.0125,0.0000,0.0000,0.0000,1.002804,1.002804,1.002804
17,90.00,-92.3244,-92.3244,-92.3232,0.0398,0.0398,0.0098,0.0000,0.0299,0.0299,1.025826,1.025826,1.025814
18,90.00,-91.7144,-91.7144,-91.7163,0.0387,0.0387,0.0187,0.0000,0.0200,0.0200,1.019049,1.019049,1.019070
19,90.00,-89.1198,-89.1198,-89.1200,0.0264,0.0264,0.0064,0.0000,0.0200,0.0200,0.990220,0.990220,0.990223
20,90.00,-90.4293,-90.4293,-90.4264,0.0255,0.0255,0.0054,0.0000,0.0201,0.0201,1.004770,1.004770,1.004738
21,180.00,-91.6837,-91.6837,-91.6887,0.0567,0.0567,0.0167,0.0000,0.0400,0.0400,0.509354,0.509354,0.509381
22,180.00,177.4384,177.4384,177.4395,0.0475,0.0475,0.0075,0.0000,0.0400,0.0400,0.985769,0.985769,0.985775
23,180.00,178.3931,178.3931,178.3982,0.0318,0.0318,0.0118,0.0000,0.0200,0.0200,0.991073,0.991073,0.991101
24,180.00,177.0945,177.0945,177.0885,0.0317,0.0317,0.0016,0.0000,0.0300,0.0300,0.983858,0.983858,0.983825
25,180.00,179.1474,179.1474,179.1497,0.0332,0.0332,0.0132,0.0000,0.0200,0.0200,0.995263,0.995263,0.995276
26,180.00,177.8916,177.8916,177.8989,0.0454,0.0454,0.0054,0.0000,0.0400,0.0400,0.988287,0.988287,0.988327
27,180.00,-179.2642,-179.2642,-179.2641,0.0501,0.0501,0.0301,0.0000,0.0200,0.0200,0.995912,0.995912,0.995912
28,180.00,174.1882,174.1882,174.1930,0.0282,0.0282,0.0081,0.0000,0.0201,0.0201,0.967712,0.967712,0.967739
29,180.00,179.0844,179.0844,179.0822,0.0467,0.0467,0.0067,0.0000,0.0400,0.0400,0.994913,0.994913,0.994901
