sample_id,physical_target_deg,accumulated_tf_deg,accumulated_ekf_deg,accumulated_wheel_deg,final_wrapped_tf_deg,final_wrapped_ekf_deg,final_wrapped_wheel_deg,tf_age_sec,ekf_age_sec,wheel_age_sec,tf_ekf_skew_sec,tf_wheel_skew_sec,ekf_wheel_skew_sec,tf_ratio,ekf_ratio,wheel_ratio
1,90.00,87.7759,87.7759,87.7746,-87.7759,-87.7759,-87.7746,0.0269,0.0269,0.0069,0.0000,0.0200,0.0200,0.975288,0.975288,0.975274
2,90.00,92.2756,92.2756,92.2752,-92.2756,-92.2756,-92.2752,0.0271,0.0271,0.0071,0.0000,0.0200,0.0200,1.025285,1.025285,1.025280
3,90.00,91.6250,91.6250,91.6262,-91.6250,-91.6250,-91.6262,0.0211,0.0211,0.0211,0.0000,0.0000,0.0000,1.018056,1.018056,1.018069
4,90.00,92.0720,92.0720,92.0738,-92.0720,-92.0720,-92.0738,0.0357,0.0357,0.0056,0.0000,0.0300,0.0300,1.023022,1.023022,1.023042
5,90.00,89.5504,89.5504,89.5487,-89.5504,-89.5504,-89.5487,0.0212,0.0212,0.0212,0.0000,0.0000,0.0000,0.995005,0.995005,0.994985
6,90.00,89.2634,89.2634,89.2648,-89.2634,-89.2634,-89.2648,0.0149,0.0149,0.0149,0.0000,0.0000,0.0000,0.991816,0.991816,0.991832
7,90.00,93.3245,93.3245,93.3331,-93.3245,-93.3245,-93.3331,0.0303,0.0303,0.0104,0.0000,0.0199,0.0199,1.036938,1.036938,1.037034
8,90.00,92.0069,92.0069,91.9971,-92.0069,-92.0069,-91.9971,0.0463,0.0463,0.0063,0.0000,0.0400,0.0400,1.022299,1.022299,1.022189
9,90.00,90.3430,90.3430,90.3446,-90.3430,-90.3430,-90.3446,0.0247,0.0247,0.0047,0.0000,0.0200,0.0200,1.003811,1.003811,1.003829
10,90.00,90.8124,90.8124,90.8112,-90.8124,-90.8124,-90.8112,0.0457,0.0457,0.0058,0.0000,0.0400,0.0400,1.009027,1.009027,1.009014
11,90.00,91.7214,91.7214,91.7254,-91.7214,-91.7214,-91.7254,0.0295,0.0295,0.0194,0.0000,0.0100,0.0100,1.019127,1.019127,1.019171
